=== HSK1 ===
爱|ài|yêu
活力|huólì|sức sống
洪水|hóngshuǐ|cơn lũ, hồng thủy
汇报|huìbào|báo cáo (cấp trên)
毫米|háomǐ|milimet
毫无|háowú|không hề
毁灭|huǐmiè|hủy diệt
欢乐|huānlè|vui vẻ
横|héng|ngang
晃|huǎng|lắc, rung
昏迷|hūnmí|hôn mê
捍卫|hànwèi|bảo vệ
挥霍|huīhuò|phung phí
患者|huànzhě|người bệnh
悔恨|huǐhèn|ân hận, hối lỗi
恨不得|hènbùdé|hận chẳng được
恍然大悟|huǎngrándàwù|bỗng nhiên tỉnh ngộ, hiểu ra
忽略|hūlüè|bỏ qua
寒暄|hánxuān|tâm tình
宏观|hóngguān|vĩ mô
宏伟|hóngwěi|to lớn
回顾|huígù|nhìn lại, xem lại (vấn đề), hồi tưởng
回避|huíbì|né tránh
回收|huíshōu|thu hồi
回报|huíbào|báo đáp
嘿|hēi|ôi, ủa
嗨|hāi|ê, này
喉咙|hóulóng|cổ họng
哼|hēng|rên, rên rỉ
哄|hǒng|dỗ dành
和谐|héxié|hòa bình, yên ổn, hợp
和解|héjiě|hòa giải
和蔼|héǎi|hòa nhã
和睦|hémù|hòa thuận
和气|héqì|hòa hợp
呼啸|hūxiào|rú rít
呼唤|hūhuàn|gọi
呼吁|hūyù|kêu gọi
呵|hē|oa (sự ngạc nhiên)
吼|hǒu|gào to
含糊|hánhù|hàm hồ, mơ hồ
含义|hányì|hàm nghĩa
后顾之忧|hòugùzhīyōu|nỗi lo về sau
后勤|hòuqín|hậu cần
后代|hòudài|đời sau
合算|hésuàn|được lợi, không đắt
合成|héchéng|hợp thành
合并|hébìng|ghép, hợp lại
合伙|héhuǒ|làm chung
号召|hàozhào|hiệu triệu
华侨|huáqiáo|hoa kiều
华丽|huálì|hoa lệ
化验|huàyàn|xét nghiệm
化肥|huàféi|phân bón
化石|huàshí|hóa thạch
化妆|huàzhuāng|hóa trang
划分|huàfēn|phân chia, chia
候选|hòuxuǎn|(người được) đề cử, ứng cử
会晤|huìwù|gặp mặt (ngữ cảnh trang trọng)
饥饿|jīè|đói khát
颈椎|jǐngzhuī|cổ
鞠躬|jūgōng|cúi người, khom lưng
集团|jítuán|tập đoàn
降临|jiànglín|đến, tới
阶层|jiēcéng|tầng lớp
间隔|jiàngé|cách nhau
间谍|jiàndié|gián điệp
间接|jiànjiē|gián tiếp
镜头|jìngtóu|ống kính
锦上添花|jǐnshàngtiānhuā|dệt hoa trên gấm
鉴定|jiàndìng|đánh giá, giám định
鉴别|jiànbié|phân biệt (thật giả)
鉴于|jiànyú|xét thấy, xem xét
金融|jīnróng|tiền tệ
酒精|jiǔjīng|cồn
迹象|jìxiàng|dấu hiệu
进而|jìnér|tiến tới
进攻|jìngōng|tấn công
进展|jìnzhǎn|tiến triển
进化|jìnhuà|tiến hóa
近来|jìnlái|gần đây (thời gian)
较量|jiàoliàng|đọ sức
践踏|jiàntà|giẫm đạp, giày xéo
记载|jìzǎi|ghi chép
记性|jìxìng|trí nhớ
讥笑|jīxiào|chê cười
计较|jìjiào|so đo
警惕|jǐngtì|cảnh giác
警告|jǐnggào|cảnh cáo
解雇|jiěgù|đuổi việc
解除|jiěchú|bỏ, giải trừ, xua tan
解散|jiěsàn|giải tán
解放|jiěfàng|giải phóng
解剖|jiěpōu|giải phẫu
解体|jiětǐ|giải thể
角落|jiǎoluò|góc
觉醒|juéxǐng|tỉnh ngộ, thức tỉnh
觉悟|juéwù|giác ngộ, tỉnh ngộ, thức tỉnh
见闻|jiànwén|hiểu biết, trải nghiệm
见解|jiànjiě|kiến giải, cách nhìn
见多识广|jiànduōshíguǎng|hiểu rộng biết nhiều
见义勇为|jiànyìyǒngwéi|thấy chuyện bất bình chẳng tha
茎|jīng|thân cây, cọng, sợi
节奏|jiézòu|tiêt tấu, nhịp
节制|jiézhì|tiết chế
艰难|jiānnán|gian nan
舰艇|jiàntǐng|hàng không mẫu hạm, tàu sân bay
聚精会神|jùjīnghuìshén|tập trung tinh thần
缴纳|jiǎonà|nộp, đóng (phí, tiền)
继承|jìchéng|thừa kế
绝望|juéwàng|tuyệt vọng
给予|jǐyǔ|cho
结算|jiésuàn|kết toán
结晶|jiéjīng|kết tinh,
结局|jiéjú|kết cục
经费|jīngfèi|kinh phí
经纬|jīngwěi|kinh tuyến và vĩ tuyến
纪要|jìyào|biên bản (hội nghị)
级别|jíbié|cấp bậc
纠纷|jiūfēn|tranh chấp
纠正|jiūzhèng|sửa chữa (sai lầm)
紧迫|jǐnpò|cấp bách
精通|jīngtōng|tinh thông
精致|jīngzhì|tinh tế
精简|jīngjiǎn|cắt bớt
精确|jīngquè|chuẩn xác, chính xác
精益求精|jīngyìqiújīng|đã giỏi còn muốn giỏi hơn
精打细算|jīngdǎxìsuàn|tính toán tỉ mỉ, tính toán chi li, tính toán cẩn thận
精心|jīngxīn|cẩn thận, chu đáo
精密|jīngmì|chính xác, tỉ mỉ
精华|jīnghuá|tinh hoa
籍贯|jíguàn|nguyên quán
简陋|jiǎnlòu|xập xệ, tồi tàn
简要|jiǎnyào|sơ lược
简化|jiǎnhuà|đơn giản hóa
简体字|jiǎntǐzì|chữ giản thể
竭尽全力|jiéjìnquánlì|dốc hết sức, dốc toàn lực
竞选|jìngxuǎn|vận động tranh cử
竞赛|jìngsài|thi đấu, thi đua
监视|jiānshì|theo dõi
监督|jiāndū|giám sát
监狱|jiānyù|nhà tù
皆|jiē|đều
疾病|jíbìng|bệnh tật
界限|jièxiàn|ranh giới
煎|jiān|rán
焦点|jiāodiǎn|tâm điểm
焦急|jiāojí|lo lắng, sốt ruột
激情|jīqíng|hăng hái
激发|jīfā|khơi gợi
激励|jīlì|khích lệ
溅|jiàn|bắn tung tóe
浸泡|jìnpào|ngâm
津津有味|jīnjīnyǒuwèi|say sưa, ngon lành
沮丧|jǔsàng|buồn rầu, buồn bã
检验|jiǎnyàn|kiểm nghiệm
检讨|jiǎntǎo|kiểm điểm
桨|jiǎng|mái chèo
极限|jíxiàn|cực điểm
极端|jíduān|cực đoan
杰出|jiéchū|kiệt xuất
机遇|jīyù|thời cơ
机灵|jīlíng|thông minh lanh lợi
机械|jīxiè|máy móc
机构|jīgòu|kết cấu
机智|jīzhì|tinh nhanh
机密|jīmì|cơ mật
机动|jīdòng|cơ động, gắn máy
晋升|jìnshēng|nâng (lương, cấp bậc)
敬礼|jìnglǐ|chào hỏi
敬业|jìngyè|mẫn cán
教养|jiàoyǎng|gia giáo, dạy dỗ
救济|jiùjì|cứu tế
搅拌|jiǎobàn|khuấy, quấy
揭露|jiēlù|phơi bày
接连|jiēlián|liên tiếp
据悉|jùxī|được biết
拣|jiǎn|chọn lựa
拘留|jūliú|tạm giam
拘束|jūshù|cấm đoán, ép buộc, bó buộc
技巧|jìqiǎo|kĩ xảo
截至|jiézhì|tính đến, cho đến
截止|jiézhǐ|kết thúc, đóng
戒备|jièbèi|sẵn sàng chiến đấu (trạng thái), đề phòng (tâm lí)
惊讶|jīngyà|kinh ngạc
惊奇|jīngqí|sửng sốt
惊动|jīngdòng|kinh động
急躁|jízào|sốt ruột
急功近利|jígōngjìnlì|ăn xổi ở thì
急剧|jíjù|nhanh chóng
急切|jíqiè|cấp thiết
急于求成|jíyúqiúchéng|mong muốn nhanh thành công
忌讳|jìhuì|kiêng kị
居民|jūmín|cư dân
居住|jūzhù|sống
局面|júmiàn|cục diện
局限|júxiàn|giới hạn
局部|júbù|cục bộ
局势|júshì|thế cuộc, tình hình (chính trị, quân sự)
就近|jiùjìn|lân cận (phó từ)
就职|jiùzhí|nhận chức
就业|jiùyè|có việc làm
尖锐|jiānruì|sắc nhọn
尖端|jiānduān|mũi nhọn
将近|jiāngjìn|gần, xấp xỉ
将就|jiāngjiù|chịu đựng, chấp nhận
将军|jiāngjūn|tướng quân
寄托|jìtuō|gửi gắm
寂静|jìjìng|yên tĩnh
家常|jiācháng|đời thường, ngày thường
家属|jiāshǔ|gia quyến
家喻户晓|jiāyùhùxiǎo|nhà nhà đều biết
家伙|jiāhuǒ|anh chàng
季度|jìdù|quí
季军|jìjūn|giải ba
嫉妒|jídù|đố kị, ghen tị
娇气|jiāoqì|ẻo lả
奖赏|jiǎngshǎng|tặng thưởng
奖励|jiǎnglì|phần thưởng, thưởng
夹杂|jiāzá|xen lẫn, pha trộn
境界|jìngjiè|cảnh giới
基金|jījīn|quĩ
基地|jīdì|căn cứ địa
基因|jīyīn|gen
坚韧|jiānrèn|vững chắc
坚硬|jiānyìng|cứng
坚实|jiānshí|chắc chắn
坚定|jiāndìng|kiên định
坚固|jiāngù|kiên cố
咀嚼|jǔjué|nhai, nghiền
君子|jūnzǐ|quân tử
吉祥|jíxiáng|cát tường
及早|jízǎo|sớm, nhanh chóng
卷|juǎn|cuộn, cuộn tròn
即将|jíjiāng|sắp
即便|jíbiàn|dù
加工|jiāgōng|gia công
加剧|jiājù|trầm trọng thêm, gia tăng
剪彩|jiǎncǎi|cắt băng khánh thành
剧烈|jùliè|mạnh, dữ dội
剧本|jùběn|kịch bản
剑|jiàn|kiếm
决策|juécè|quyết sách
军队|jūnduì|quân đội
兢兢业业|jīngjīngyèyè|cần cù chăm chỉ
僵硬|jiāngyìng|rắn chắc
健全|jiànquán|kiện toàn, khỏe mạnh
借鉴|jièjiàn|học hỏi
借助|jièzhù|nhờ vào
倔强|juéjiàng|quật cường
侥幸|jiǎoxìng|ăn may
佳肴|jiāyáo|món ngon
交涉|jiāoshè|đàm phán, điều đình
交易|jiāoyì|giao dịch
交叉|jiāochā|giao nhau
交代|jiāodài|bàn giao, nhắn nhủ, căn dặn
井|jǐng|giếng
举足轻重|jǔzúqīngzhòng|vị thế trung tâm, ảnh hưởng đến toàn cục
举动|jǔdòng|cử động, hành động
举世瞩目|jǔshìzhǔmù|gây chú ý
靠拢|kàolǒng|lại gần, tiến gần
跨|kuà|vượt, sải bước
课题|kètí|đề bài
苦涩|kǔsè|khổ sở
苦尽甘来|kǔjìngānlái|khổ tận cam lai
考验|kǎoyàn|thử thách, sự thử thách
考核|kǎohé|sát hạch
考察|kǎochá|khảo sát
考古|kǎogǔ|khảo cổ
筐|kuāng|giỏ, sọt
空隙|kòngxì|khe hở
空虚|kōngxū|trống rỗng (tinh thần), sáo rộng (từ ngữ, lời văn)
空白|kòngbái|trống không
空洞|kōngdòng|lỗ hổng, hang, sáo rỗng(nội dung)
空想|kōngxiǎng|ảo tưởng
空前绝后|kōngqiánjuéhòu|chưa từng có
科目|kēmù|môn học
磕|kē|đập
砍伐|kǎnfá|chặt phá
矿产|kuàngchǎn|khoáng sản
看待|kàndài|nhìn nhận
渴望|kěwàng|khát vọng
款待|kuǎndài|khoản đãi
款式|kuǎnshì|kiểu cách, kiểu dáng
框架|kuàngjià|khung, sườn
枯萎|kūwěi|khô héo, héo
枯燥|kūzào|khô hanh
旷课|kuàngkè|trốn học
捆绑|kǔnbǎng|trói, buộc, trói buộc
挎|kuà|cắp, đeo, vác
抗议|kàngyì|kháng nghị
扩散|kuòsàn|khuếch tán, lan rộng
扩张|kuòzhāng|mở rộng, bành trướng
扩充|kuòchōng|tăng thêm, bổ sung
扣|kòu|móc, nút thắt, khuy áo
扛|káng|gánh
慷慨|kāngkǎi|hào phóng
恳切|kěnqiè|khẩn thiết
恐惧|kǒngjù|sợ hãi
恐怖|kǒngbù|khổng bố, kinh dị (phim, truyện)
恐吓|kǒnghè|đe dọa
快活|kuàihuó|vui sướng, sung sướng, nhảy nhót hát
开除|kāichú|khai trừ
开阔|kāikuò|rộng mở (tầm nhìn), mở rộng, rộng thênh thang, bao la
开采|kāicǎi|khai thác (tài nguyên)
开辟|kāipì|mở (đường), lập ra (kỷ nguyên,), mở ra (lĩnh vực mới,con đường mới)
开朗|kāilǎng|lạc quan, yêu đời
开明|kāimíng|khai sáng, tiến bộ
开支|kāizhī|trả tiền, chi tiêu
开拓|kāituò|khai khẩn
开展|kāizhǎn|triển khai (công việc, cuộc vận động, hoạt động), mở rộng
宽敞|kuānchang|rộng rãi
宽容|kuānróng|khoan dung
客户|kèhù|khách hàng
孔|kǒng|lỗ
坑|kēng|vũng, hố
啃|kěn|gặm, rỉa
哭泣|kūqì|khóc lóc
可观|kěguān|khả quan
可行|kěxíng|khả thi
可恶|kěwù|đáng ghét
可口|kěkǒu|vừa miệng
口音|kǒuyīn|giọng nói
口腔|kǒuqiāng|khoang miệng
口气|kǒuqì|khẩu khí
口头|kǒutóu|miệng (bài tập, truyền miệng, giao ước)
卡通|kǎtōng|truyện tranh, phim hoạt hình
勘探|kāntàn|thăm dò (dầu mỏ, khoáng sản)
刻不容缓|kèbùrónghuǎn|vô cùng cấp bách, không thể trì hoãn
刊登|kāndēng|đăng (báo)
刊物|kānwù|tạp chí, báo
况且|kuàngqiě|huống hồ
克制|kèzhì|kiềm chế (tính khí), dè chừng
侃侃而谈|kǎnkǎnértán|nói năng đĩnh đạc
亏损|kuīsǔn|hao tổn
亏待|kuīdài|xử tệ, đối đãi kém
黎明|límíng|rạng đông, rạng sáng
领袖|lǐngxiù|lãnh tụ
领悟|lǐngwù|lĩnh hội, hiểu ra
领土|lǐngtǔ|lãnh thổ
领先|lǐngxiān|dẫn đầu
领会|lǐnghuì|lĩnh hội
领事馆|lǐngshìguǎn|lãnh sự quán
雷达|léidá|radar
零星|língxīng|vụn vặt, lác đác, rải rác
隆重|lóngzhòng|long trọng
里程碑|lǐchéngbēi|cột mốc đường, mốc cây số
连锁|liánsuǒ|chuỗi (cửa hàng, nhà hàng)
连年|liánnián|hàng năm, nhiều năm liền
连同|liántóng|kéo theo, kể cả, gộp lại
辽阔|liáokuò|bát ngát, bao la
轮船|lúnchuán|tàu thủy
轮胎|lúntāi|lốp xe
轮廓|lúnkuò|đường viền, đường bao
谅解|liàngjiě|thông cảm
论证|lùnzhèng|luận chứng
论坛|lùntán|diễn dàn
蜡烛|làzhú|nến
落成|luòchéng|khánh thành
落实|luòshí|đầy đủ chu đáo
良心|liángxīn|lương tâm
联络|liánluò|liên lạc
联盟|liánméng|liên minh
联欢|liánhuān|liên hoan
联想|liánxiǎng|liên tưởng
聋哑|lóngyǎ|câm điếc
络绎不绝|luòyìbùjué|lũ lượt kéo đến
粒|lì|hạt
类似|lèisì|na ná, tương tự, giống
笼罩|lǒngzhào|che lấp, bao phủ, che phủ
立足|lìzú|chỗ đứng, ở vào (hoàn cảnh)
立方|lìfāng|lập phương
立场|lìchǎng|lập trường
立体|lìtǐ|không gian ba chiều
立交桥|lìjiāoqiáo|cầu vượt
礼节|lǐjié|lễ tiết
礼尚往来|lǐshàngwǎnglái|lễ thượng vãng lai, có đi có lại mới toại lòng nhau, ông đưa chân giò, bà thò chai rượu
留神|liúshén|thận trọng (với ai), cẩn trọng, để ý cẩn thận
留恋|liúliàn|lưu luyến
留念|liúniàn|lưu niệm
理睬|lǐcǎi|để ý, quan tâm
理直气壮|lǐzhíqìzhuàng|cây ngay không sợ chết đứng
理智|lǐzhì|lý trí
理所当然|lǐsuǒdāngrán|lẽ đương nhiên
狼狈|lángbèi|lang bái, chật vật, khốn khổ
狼吞虎咽|lángtūnhǔyàn|ăn lấy ăn để
牢骚|láosāo|hậm hực
牢固|láogù|chắc chắn (kết cấu, móng, nền tảng)
炉灶|lúzào|bếp nấu
灵魂|línghún|linh hồn
灵敏|língmǐn|nhạy, nhạy bén, thính
灵感|línggǎn|linh cảm
溜|liū|trượt
淋|lín|ướt
流露|liúlù|lộ rõ
流通|liútōng|lưu thông
流浪|liúlàng|lang thang, bụi đời
流氓|liúmáng|lưu manh
栏目|lánmù|chuyên mục
来源|láiyuán|nguồn gốc
来历|láilì|lai lịch
晾|liàng|hong, phơi
搂|lōu|ôm
掠夺|lüèduó|cướp đoạt
捞|lāo|vớt, mò
懒惰|lǎnduò|lười biếng
愣|lèng|ngây ra, sững sờ
廉洁|liánjié|liêm khiết
履行|lǚxíng|thực thi (chức trách), thực hiện (lời hứa)
屡次|lǚcì|nhiều lần
垄断|lǒngduàn|lũng đoạn
喇叭|lǎbā|kèn, còi, loa
啰唆|luōsuō|rườm rà, lắm lời
啦|lā|đấy, nhé, à, này
唠叨|láodao|lảm nhảm, lải nhải
吝啬|lìnsè|keo kiệt
历来|lìlái|từ trước đến nay, từ xa xưa trở lại đây
历代|lìdài|đời đời
力求|lìqiú|cố gắng, phấn đấu
力所能及|lìsuǒnéngjí|làm hết khả năng
力争|lìzhēng|cố gắng, phấn đấu
利害|lìhài|lợi hại, giỏi
列举|lièjǔ|liệt kê, nêu ra
凌晨|língchén|sáng sớm
冷酷|lěngkù|lạnh lùng
冷落|lěngluò|ghẻ lạnh, lạnh nhạt, vắng vẻ
冷却|lěngquè|làm lạnh
例外|lìwài|ngoại lệ
伶俐|línglì|lanh lợi
乐趣|lèqù|niềm vui
乐意|lèyì|cam tâm tình nguyện làm việc gì đó
临床|línchuáng|lâm sàng
默默|mòmò|lặng thầm
麻醉|mázuì|gây tê
麻痹|mábì|bệnh liệt
麻木|mámù|tê
魔鬼|móguǐ|ma quỉ
魔术|móshù|ảo thuật
面貌|miànmào|diện mạo
面子|miànzi|mặt, thể diện
迷惑|míhuò|mê hoặc, mơ hồ
迷信|míxìn|mê tín
迷人|mírén|khiến người khác say đắm, mê hồn
迈|mài|đi bước dài
谜语|míyǔ|câu đố
谋求|móuqiú|tìm kiếm, mưu cầu
蚂蚁|mǎyǐ|kiến
藐视|miǎoshì|coi thường
蔓延|mànyán|lây lan
蔑视|mièshì|miệt thị
萌芽|méngyá|manh nha, mầm non
莫名其妙|mòmíngqímiào|không hiểu ra sao cả, không sao nói rõ được, ù ù cạc cạc
茫茫|mángmáng|mênh mông, mù mịt
茫然|mángrán|(dáng vẻ) mơ hồ
茂盛|màoshèng|tươi tốt, xanh tươi
膜|mó|mặt nạ
脉搏|màibó|mạch
美观|měiguān|mỹ quan
美满|měimǎn|mỹ mãn, đầy đủ
美妙|měimiào|tuyệt vời
磨合|móhé|chạy thử
码头|mǎtóu|bến tàu
瞄准|miáozhǔn|ngắm chuẩn, xác định rõ
眯|mī|nheo mắt
盲目|mángmù|mù quáng
目睹|mùdǔ|mắt thấy
目光|mùguāng|ánh mắt
猛烈|měngliè|dữ dội, mãnh liệt
灭亡|mièwáng|diệt vong
漫长|màncháng|dài đằng đẵng
漫画|mànhuà|truyện tranh
渺小|miǎoxiǎo|nhỏ bé, sự nhỏ bé
沐浴|mùyù|tắm rửa
民间|mínjiān|dân gian
民主|mínzhǔ|dân chủ
母语|mǔyǔ|tiếng mẹ đẻ
模范|mófàn|mô phạm
模样|móyàng|bộ dạng
模式|móshì|mô thức
模型|móxíng|mô hình
棉花|miánhuā|bông
枚|méi|cái, tấm
明智|míngzhì|sáng suốt
明明|míngmíng|rõ ràng
敏锐|mǐnruì|sắc sảo
敏捷|mǐnjié|nhanh nhạy, minh mẫn
摸索|mōsuǒ|lần sờ, tìm
摩擦|mócā|cọ xát
描绘|miáohuì|miêu tả, vẽ ra
抹杀|mǒshā|bôi
慢性|mànxìng|mãn tính
忙碌|mánglù|bận rộn
弥补|míbǔ|bù đắp
弥漫|mímàn|ngào ngạt, lan tỏa
密度|mìdù|mật độ
密封|mìfēng|niêm phong
媒介|méijiè|môi giới
墨水儿|mòshuǐr|mực
埋葬|máizàng|mai táng
埋没|máimò|chôn giấu
埋怨|mányuàn|oán trách, oán hận
埋伏|máifú|mai phục
嘛|ma|thôi, mà
命名|mìngmíng|đặt tên
名额|míngé|số người
名誉|míngyù|danh dự
名次|míngcì|thứ tự
名副其实|míngfùqíshí|danh bất hư truyền
勉强|miǎnqiǎng|miễn cưỡng
勉励|miǎnlì|khích lệ, động viê
冒犯|màofàn|mạo phạm
冒充|màochōng|đội lốt, giả mạo
免疫|miǎnyì|miễn dịch
免得|miǎndé|để tránh
难能可贵|nánnéngkěguì|vô cùng đáng quí
难得|nándé|khó có được
难堪|nánkān|lúng túng, ngượng ngùng
逆行|nìxíng|đi ngược chiều
虐待|nüèdài|ngược đãi
能量|néngliàng|năng lượng
耐用|nàiyòng|bền
纽扣儿|niǔkòur|cúc áo
纳闷儿|nàmènr|bồn chồn, lo lắng
浓厚|nónghòu|đậm nét, dày đặc
捏|niē|túm, nhúp
挪|nuó|di chuyển
拿手|náshǒu|sở trường
拧|níng|vặn, vắt
拟定|nǐdìng|vạch ra
扭转|niǔzhuǎn|xoay, quay
恼火|nǎohuǒ|nổi cáu
年度|niándù|năm
宁肯|nìngkěn|thà, thà rằng
宁愿|nìngyuàn|thà, thà rằng
奴隶|núlì|nô lệ
南辕北辙|nányuánběizhé|nghĩ một đằng làm một nẻo, nói một đằng làm một nẻo
凝视|níngshì|nhìn đăm đăm
凝聚|níngjù|ngưng tụ, hội tụ
凝固|nínggù|cứng lại, đông đặc
农历|nónglì|âm lịch
内涵|nèihán|nội hàm
内幕|nèimù|nội tình
内在|nèizài|nội tại
殴打|ōudǎ|ẩu đả, đánh nhau
哦|ó|ồ, ố, á
呕吐|ǒutù|nôn mửa
偶像|ǒuxiàng|thần tượng
魄力|pòlì|kiên quyết, quyết đoán
飘扬|piāoyáng|tung bay, phất phơ
频繁|pínfán|thường xuyên, nhiều lần
频率|pínlǜ|tần suất
颇|pō|rất, tương đối
铺|pù|cửa hàng
配套|pèitào|đồng bộ
配备|pèibèi|phân phối
配偶|pèiǒu|vợ, chồng
迫害|pòhài|bức hại
迫不及待|pòbùjídài|vội vã (không thể chờ đợi)
趴|pā|nằm bò, nằm sấp
贫困|pínkùn|nghèo, nghèo đói (kinh tế)
贫乏|pínfá|nghèo nàn (kinh tế, trí tưởng tượng, tài nguyên), non nớt (kinh nghiệm)
评论|pínglùn|bình luận
评估|pínggū|đánh giá
譬如|pìrú|ví dụ
破例|pòlì|phá lệ
盘旋|pánxuán|vòng quanh, lượn vòng
盆地|péndì|thung lũng
皮革|pígé|thuộc da
疲惫|píbèi|mệt nhọc
疲倦|píjuàn|thiếu ngủ, ủ rũ
畔|pàn|bờ, bên (sông hồ, đường xá)
片断|piànduàn|mẩu, đoạn
片刻|piànkè|chốc lát
烹饪|pēngrèn|nấu nướng
瀑布|pùbù|thác nước
漂浮|piāofú|trôi, nổi, bập bềnh
派遣|pàiqiǎn|cử, phái
派别|pàibié|phe phái
泼|pō|hắt, giội
泡沫|pàomò|bong bóng
朴素|pǔsù|giản dị, mộc mạc
朴实|pǔshí|thành thật, chất phác
普及|pǔjí|phổ biến
攀登|pāndēng|leo, trèo
撇|piě|phẩy
排除|páichú|bài trừ
排练|páiliàn|tập
排斥|páichì|bài xích
排放|páifàng|thải ra
捧|pěng|bưng, nâng, bê
拼搏|pīnbó|đấu tranh
拼命|pīnmìng|liều mạng, liều mình
抛弃|pāoqì|vứt bỏ,quẳng đi
批发|pīfā|bán buôn
批判|pīpàn|phê phán
扑|pū|bổ nhào
徘徊|páihuái|cận kề, do dự
庞大|pángdà|quá lớn (thể tích, chi tiêu, bộ máy)
平面|píngmiàn|mặt, bề mặt
平行|píngxíng|song song
平庸|píngyōng|tầm thường
平坦|píngtǎn|bằng phẳng
平原|píngyuán|đồng bằng
平凡|píngfán|thường, bình thường
屏障|píngzhàng|rào chắn
屏幕|píngmù|màn hình
屁股|pìgu|mông
培育|péiyù|bồi dưỡng
坡|pō|sườn dốc, dốc
品质|pǐnzhì|phẩm chất
品种|pǐnzhǒng|giống, chủng loại
品德|pǐndé|đức hạnh
品尝|pǐncháng|nếm thử
劈|pī/pǐ|bổ, chẻ
判决|pànjué|phán quyết
偏见|piānjiàn|phiến diện, thành kiến
偏差|piānchā|sai lệch
偏僻|piānpì|hẻo lánh, xa xôi
偏偏|piānpiān|cố ý, lại
齐心协力|qíxīnxiélì|đồng tâm hiệp lực
齐全|qíquán|đầy đủ
驱逐|qūzhú|trục xuất
锲而不舍|qièérbùshě|miệt mài, kiên nhẫn
钦佩|qīnpèi|khâm phục
迄今为止|qìjīnwéizhǐ|đến nay
迁徙|qiānxǐ|chuyển dịch
迁就|qiānjiù|chiều theo
趣味|qùwèi|hứng thú
起草|qǐcǎo|viết bản thảo
起码|qǐmǎ|chí ít
起源|qǐyuán|bắt nguồn
起哄|qǐhòng|đùa giỡn, giỡn cợt
起初|qǐchū|lúc đầu
起伏|qǐfú|gợn sóng
谴责|qiǎnzé|lên án
谦逊|qiānxùn|khiêm tốn
请示|qǐngshì|xin chỉ thị
请柬|qǐngjiǎn|thiệp mời
请教|qǐngjiào|thỉnh giáo
请帖|qǐngtiě|thiệp mời
翘|qiào|vênh, vểnh
群众|qúnzhòng|quần chúng
缺陷|quēxiàn|khiếm khuyết
缺席|quēxí|vắng mặt
缺口|quēkǒu|chỗ hổng
签署|qiānshǔ|ký tên
窍门|qiàomén|bí quyết
确立|quèlì|thiết lập
确切|quèqiè|chính xác
确信|quèxìn|tin chắc
确保|quèbǎo|bảo đảm chắc chắn
瘸|qué|què quặt
犬|quǎn|chó, khuyển
牵扯|qiānchě|liên lụy, kéo theo
牵制|qiānzhì|giữ chân (quân sự)
牵|qiān|kéo
潜移默化|qiányímòhuà|dần dà thay đổi
潜水|qiánshuǐ|lặn
潜力|qiánlì|tiềm lực
渠道|qúdào|kênh, con đường
清除|qīngchú|quét sạch
清醒|qīngxǐng|tỉnh táo, tỉnh lại
清真|qīngzhēn|trong sáng, chất phác
清理|qīnglǐ|dọn dẹp
清澈|qīngchè|trong veo
清洁|qīngjié|sạch sẽ, vệ sinh
清晰|qīngxī|rõ ràng, rõ (phát âm, mọi vật)
清晨|qīngchén|sáng sớm
洽谈|qiàtán|thương thảo
气魄|qìpò|khí phách
气质|qìzhì|khí chất
气象|qìxiàng|khí tượng
气色|qìsè|khí sắc
气概|qìgài|khí chất
气味|qìwèi|mùi
气压|qìyā|áp suất khí quyển
气势|qìshì|khí thế
气功|qìgōng|khí công
歧视|qíshì|kì thị
欺骗|qīpiàn|lừa gạt
欺负|qīfù|bắt nạt
桥梁|qiáoliáng|nhịp cầu, cầu
权衡|quánhéng|cân nhắc, suy tính
权威|quánwēi|quyền uy
期限|qīxiàn|kì hạn
期望|qīwàng|kì vọng
曲折|qūzhé|khúc khuỷu, quanh co
曲子|qǔzi|bản nhạc
晴朗|qínglǎng|trong xanh, nắng đẹp (bầu trời, thời tiết)
旗袍|qípáo|áo sườn xám
旗帜|qízhì|cờ quạt
掐|qiā|véo, kẹp
拳头|quántóu|nắm đấm
抢救|qiǎngjiù|giải thoát
抢劫|qiǎngjié|cướp
情节|qíngjié|tình tiết
情理|qínglǐ|lẽ phải, tình lý
情报|qíngbào|tính báo
情形|qíngxíng|tình hình
恰当|qiàdàng|phù hợp
恰巧|qiàqiǎo|vừa khéo
恰到好处|qiàdàohǎochù|vừa đúng lúc
强迫|qiǎngpò|ép buộc
强制|qiángzhì|cưỡng chế
岂有此理|qǐyǒucǐlǐ|lẽ nào lại như vậy
屈服|qūfú|khuất phục
奇妙|qímiào|kì diệu
圈套|quāntào|cái bẫy
器材|qìcái|khí tài
器官|qìguān|cơ quan
启蒙|qǐméng|vỡ lòng, nhập môn
启程|qǐchéng|khởi hành
启示|qǐshì|gợi mở
启事|qǐshì|thông báo (vật rơi, tìm người)
取缔|qǔdì|cấm chỉ
千方百计|qiānfāngbǎijì|trăm phương nghìn kế
区域|qūyù|khu vực
区分|qūfēn|phân biệt
勤劳|qínláo|chịu thương chịu khó
勤俭|qínjiǎn|cần cù, tiết kiệm
前景|qiánjǐng|tương lai
前提|qiántí|tiền đề
切实|qièshí|thiết thực, thực sự
凄凉|qīliáng|lạnh lẽo
全局|quánjú|toàn cục
全力以赴|quánlìyǐfù|dốc hết sức lực
倾斜|qīngxié|xiêu, vẹo, lệch, nghiêng
倾听|qīngtīng|lắng nghe
